ID,Name,MRP-Flag,Pastor,City,State,Zip,mrp_new,mrp_old,mrp_diff,mrp_perc_diff,cbf_new,cbf_old,cbf_diff,cbf_perc_diff,,
2444,FBC Whiteville,1,Ryan K. Clore,Whiteville,NC,28472-3215,12858.08,13880.12,-1022.04,-0.07,7504.86,8328.07,-823.21,-0.10,,
274,FBC Wilmington,0,Matthew W. Cook,Wilmington,NC,28401-4546,0,0,0,,16225,25076,-8851,-0.35,,
451,FBC Wilson,1,Douglas E. Murray,Wilson,NC,27894-1467,15709.43,9417,6292.43,0.67,7071.55,4239,2832.55,0.67,,
2242,FBC Winston Salem,1,Emily K. Hull McGee,Winston Salem,NC,27101-2727,20354.82,22738.4,-2383.58,-0.10,12270.63,12968.72,-698.09,-0.05,,
72442,First Baptist Church of Smithton,1,,Belhaven,NC,27810-0522,1000,1000,0,0.00,680,680,0,0.00,,
190046,First Chin Baptist Church,0,Vanbawi Van,New Bern,NC,28560-2141,0,0,0,,1000,300,700,2.33,,
72994,Fishing Creek Baptist Church,0,Keith Griffin,Whitakers,NC,27891-9217,969.28,702,267.28,0.38,2025,1890,135,0.07,,
86838,Flat Rock Baptist Church,0,Charles J. Tomlin,Hamptonville,NC,27020-0267,0,0,0,,1152,1152,0,0.00,,
125832,Flat Springs Baptist Church,1,Gary McCollough,Sanford,NC,27330-6567,6807.5,11346.25,-4538.75,-0.40,4084.5,6807.75,-2723.25,-0.40,,
20394,Florence Baptist Church,1,Bobby D. Gantt,Forest City,NC,28043-3698,4999.95,4999.95,0,0.00,3000.01,3000.01,0,0.00,,
271,Forest Hills Baptist Church,1,Neil P. Westbrook,Raleigh,NC,27607-7015,1835.72,9211.38,-7375.66,-0.80,1101.44,2742.13,-1640.69,-0.60,,
19213,Franklinton Baptist Church,0,David Averette,Franklinton,NC,27525-0477,0,0,0,,3078.19,3908.18,-829.99,-0.21,,
177776,Fremont Missionary Baptist Church,1,H. Powell Dew Jr,Fremont,NC,27830-0906,1400,1400,0,0.00,300,300,0,0.00,,
1043,Goshen Baptist Church,1,Barbara J. Bell,Leland,NC,28451-9054,10029.45,7020.17,3009.28,0.43,3143.56,2200.35,943.21,0.43,,
757,Grace Crossing Baptist Fellowship,1,Jason Blanton,Charlotte,NC,28215-8643,1612.5,2151.85,-539.35,-0.25,967.5,1291.11,-323.61,-0.25,,
125009,Grace Haven Fellowship,0,Richard E. Graves,Wake Forest,NC,27588-1432,0,0,0,,0,4300,-4300,-1.00,,
1444,Greenwood Forest Baptist Church,1,Lauren K. Efird,Cary,NC,27511-4508,593.75,6137.5,-5543.75,-0.90,156.25,1562.5,-1406.25,-0.90,,
16089,Greystone Baptist Church,1,Sean O. Allen,Raleigh,NC,27615-4825,29333.51,31746.76,-2413.25,-0.08,15635.12,15425.2,209.92,0.01,,
2438,Grove Park Baptist Church,1,Gary Threatt,Clinton,NC,28328-2011,7583.21,7908.85,-325.64,-0.04,4549.94,4745.33,-195.39,-0.04,,
20635,Guilford Baptist Church,0,,Greensboro,NC,27409-2136,0,0,0,,0,2029.99,-2029.99,-1.00,,
20653,Hallsboro Baptist Church,0,Scott Lewis,Hallsboro,NC,28442-0086,0,0,0,,200,200,0,0.00,,
1831,Hayes Barton Baptist Church,1,David J. Hailey,Raleigh,NC,27608-2324,15675,15840,-165,-0.01,17605,17899,-294,-0.02,,
124770,Heritage Baptist Church,1,Jimmy W. Allen,Wake Forest,NC,27588-0830,685.18,735.67,-50.49,-0.07,379.86,756.87,-377.01,-0.50,,
20726,Hester Baptist Church,0,,Oxford,NC,27565-0964,0,0,0,,5000,5416.67,-416.67,-0.08,,
84027,Hickory Rock Baptist Church,1,Stuart M. Lamkin,Louisburg,NC,27549-8178,300,300,0,0.00,180,180,0,0.00,,
2346,Hiddenite Baptist Church,0,,Hiddenite,NC,28636-0038,0,0,0,,1215.72,1246.78,-31.06,-0.02,,
195257,Highland United Methodist Church,2,,Raleigh,NC,27607-6834,2000,1000,1000,1.00,0,0,0,,,
27656,HillSong Church,1,Robert Tennant,Chapel Hill,NC,27516-8302,1526.91,1656.6,-129.69,-0.08,3817.44,4141.5,-324.06,-0.08,,
20781,Hobbsville Baptist Church,0,Tim Dannelly,Hobbsville,NC,27946-0069,0,0,0,,95.83,89.58,6.25,0.07,,
51,Hominy Baptist Church,0,Joseph E. Yelton,Candler,NC,28715-8309,0,0,0,,1884.19,1726.07,158.12,0.09,,
17801,Hope Valley Baptist Church,0,William J. Bigger,Durham,NC,27707-5636,2250,2500,-250,-0.10,3748.34,3171.66,576.68,0.18,,
185077,Iglesia Bautista La Roca,0,Alex Rodriguez,Raleigh,NC,27603-4109,0,0,0,,240,390,-150,-0.38,,
2070,Immanuel Baptist Church,1,,Greenville,NC,27858-3745,5114.53,5228.43,-113.900000000001,-0.02,3068.73,3137.07,-68.34,-0.02,,
59013,Jersey Baptist Church,1,Matt Riggsbee,Lexington,NC,27292-8741,7023.06,7805.2,-782.139999999999,-0.10,4213.85,8257.65,-4043.8,-0.49,,
20908,Jonesboro Heights Baptist Church,1,Calvin Sayles,Sanford,NC,27332-5922,3019.68,7424.91,-4405.23,-0.59,1811.81,4454.95,-2643.14,-0.59,,
107523,Kendalls Baptist Church,0,Christian Herring,New London,NC,28127-7707,0,0,0,,4704.06,4240.02,464.04,0.11,,
84049,Knightdale Baptist Church,0,J. Trent Sessoms,Knightdale,NC,27545-0021,0,0,0,,0,52,-52,-1.00,,
20944,Knollwood Baptist Church,0,Robert B. Setzer,Winston Salem,NC,27104-4132,12374.87,2462.2,9912.67,4.03,3794.87,2462.2,1332.67,0.54,,
20966,Lafayette Baptist Church,0,Ronald M. Hinson,Fayetteville,NC,28304-2217,8009.92,0,8009.92,,3860.99,8457.96,-4596.97,-0.54,,
17573,Lakeside Baptist Church,1,Jody C. Wright,Rocky Mount,NC,27804-5014,13630,13500,130,0.01,10250,10250,0,0.00,,
2391,Lamberth Memorial Baptist Church,0,Gerald E. Thomas,Roxboro,NC,27574-8543,0,0,0,,5149.97,6008.39,-858.42,-0.14,,
23527,Lennons Cross Roads Baptist Church,0,Alfred H. Senter,Bladenboro,NC,28320-0867,100,0,100,,1280.85,1250.04,30.81,0.02,,
21066,Lindley Park Baptist Church,0,Scott Orr,Greensboro,NC,27403-1918,0,0,0,,0,200,-200,-1.00,,
21081,Littleton Baptist Church,1,Michael O. Currin,Littleton,NC,27850-0216,2250,5250,-3000,-0.57,1350,3150,-1800,-0.57,,
1727,Longview Baptist Church,1,Randy McKinney,Raleigh,NC,27604-4836,6234.35,5150,1084.35,0.21,2700,3000,-300,-0.10,,
20957,Loray Baptist Church,1,Kent Cranford,Gastonia,NC,28052-3737,1000,500,500,1.00,675,663,12,0.02,,
654,Louisburg Baptist Church,1,Reggie Rushing,Louisburg,NC,27549-0730,1750,1750,0,0.00,1050,1090,-40,-0.04,,
1897,Lowe's Grove Baptist Church,0,Woodrow W. Freeze,Durham,NC,27713-2222,0,0,0,,3707.45,3842.46,-135.01,-0.04,,
149737,Lystra Baptist Church,1,Tim Williford,Chapel Hill,NC,27517-8853,11415,8172.5,3242.5,0.40,700,900,-200,-0.22,,
41520,Macedonia Baptist Church,0,James Brown,Raleigh,NC,27606-4327,0,0,0,,3500,0,3500,,,
37545,Main Street Baptist Church,1,,Kernersville,NC,27284-2878,254.89,580.73,-325.84,-0.56,152.94,348.44,-195.5,-0.56,,
42173,Maplewood Baptist Church,0,Jimmy Lancaster,Yadkinville,NC,27055-0576,0,0,0,,1029,1020,9,0.01,,
1891,Mars Hill Baptist Church,1,Thomas C. Justus,Mars Hill,NC,28754-0218,100,3000,-2900,-0.97,2500,1800,700,0.39,,
31107,Masonboro Baptist Church,1,Gordon A. Wright,Wilmington,NC,28409-2626,16862.69,14109.93,2752.76,0.20,5604.22,6690.06,-1085.84,-0.16,,
16982,McGill Baptist Church,0,E. Steven Ayers,Concord,NC,28027-9757,1807,0,1807,,11348,11040,308,0.03,,
2364,Memorial Baptist Church,1,A. Edward Beddingfield,Buies Creek,NC,27506-0485,6438.22,5099.65,1338.57,0.26,3254.05,3059.79,194.26,0.06,,
1764,Millbrook Baptist Church,0,Andrea D. Jones,Raleigh,NC,27609-4813,0,0,0,,200,200,0,0.00,,
76352,Mission Baptist Church,0,Jeremy Hyde,Locust,NC,28097-7235,0,0,0,,0,1526,-1526,-1.00,,
